 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.27	10.19	1.6	0.889	290.6	22	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.1	6.25	1.379	1.555	508.3	25	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.05	5.73	1.216	1.62	529.5	33	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.07	27.34	5.893	2.223	726.6	20	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.29	24	4.427	2.96	967.6	31	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.03	39.06	9.58	6.497	2123.7	29	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.12	0.12	0.022	0.004	0.9	1	Divers-Melange		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.19	0.19	0.035	0.007	1.5	1	Tetraodon lineatus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.33	0.33	0.082	0.024	5.3	2	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.47	0.49	0.119	0.034	7.5	2	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.07	0.97	0.194	0.132	29	14	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.08	2.42	0.594	0.372	81.8	15	Brycinus nurse	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.03	4.79	1.056	0.459	101	11	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	9	10.4	2.414	0.693	152.5	2	Tilapia spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.39	3	0.71	0.747	164.3	14	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.05	15.11	2.76	2.645	581.9	27	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.02	15	4.188	2.736	601.9	21	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.29	61.16	11.073	2.943	647.5	15	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.29	39.72	7.383	3.717	817.7	23	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.34	125.86	23.228	7.534	1657.5	16	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.36	0.36	0.059	0.01	2.2	1	Heterobranchus longifilis	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.1	0.51	0.085	0.021	4.7	3	Marcusenius senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.48	0.49	0.109	0.028	6.3	2	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.05	1.09	0.184	0.048	10.7	4	Raiamas senegalensis	Continentale	
